"BehaviorSpace results (NetLogo 6.0.2)"
"Model_V13.nlogo"
"Stochastic_Uncertainties"
"05/21/2019 13:38:54:245 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-9","9"
"[run number]","everyone_is_owner","medium_socialnetwork_group","technology_heat","subsidies","large_size_community","stop_and_report","number_households","radius_socialnetwork","feasibility_constraint","initial_size_of_community","energylabels_higher","community_model","companies_utility_sector","weighting_capabilities","report_time","renovations_cheaper","large_socialnetwork_group","technologies_more_sustainable","range_inclusiveness","medium_size_community","Type_of_visualization","[step]","covariance_cap_sec_aff","covariance_cap_sec_sus","covariance_cap_sec_aut","covariance_cap_sec_com","covariance_cap_sec_inc","covariance_cap_aff_sus","covariance_cap_aff_aut","covariance_cap_aff_com","covariance_cap_aff_inc","covariance_cap_sus_aut","covariance_cap_sus_com","covariance_cap_sus_inc","covariance_cap_aut_com","covariance_cap_aut_inc","covariance_cap_com_inc"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","6.991677051584342E-5","5.968199630647244E-5","3.651820822218402E-5","6.426136960797563E-5","6.849040833996457E-5","6.991677051584342E-5","5.30439903441115E-5","1.5220869263480214E-4","1.8634796230400355E-4","3.651820822218402E-5","6.426136960797563E-5","6.849040833996457E-5","5.173607461792593E-5","5.9053062341201705E-5","2.0260849110900924E-4"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","0.0018378368008114183","0.0021131580659529826","-2.2293790570005817E-4","9.210596119293929E-4","0.0010567942384977645","0.0018378368008114183","-1.7697456626643204E-4","8.653397327781291E-4","0.0010080059790433093","-2.2293790570005817E-4","9.210596119293929E-4","0.0010567942384977645","-6.149205824900627E-5","-7.70068748989138E-5","5.742684263471621E-4"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","0.0017270743560099744","0.0018927926169491865","-2.8297690961545923E-4","8.544484983158908E-4","0.0010058405777517523","0.0017270743560099744","-2.1469948245027732E-4","8.992504508472216E-4","0.001080832194745978","-2.8297690961545923E-4","8.544484983158908E-4","0.0010058405777517523","-5.051991318380206E-5","-6.491532747112103E-5","6.566871362150848E-4"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","4.867537387093507E-5","4.525154856221019E-5","2.1467167811927958E-5","4.157470384216905E-5","4.530326461770968E-5","4.867537387093507E-5","2.556218966891521E-5","8.619565017925326E-5","1.1101268377967462E-4","2.1467167811927958E-5","4.157470384216905E-5","4.530326461770968E-5","2.264162274973023E-5","2.58647007892598E-5","1.1545025499351853E-4"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","5.7755156174146943E-5","4.8045883819047E-5","2.9628295021744652E-5","5.360118913562457E-5","5.7655060582856605E-5","5.7755156174146943E-5","4.4945144835540226E-5","1.3506565436658871E-4","1.664456222359045E-4","2.9628295021744652E-5","5.360118913562457E-5","5.7655060582856605E-5","4.440907733552193E-5","5.1186661039070156E-5","1.8298475043666715E-4"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","0.00270028877578085","0.0027751652828451137","-5.433055234417159E-4","0.0013721103653989552","0.0017911105105375622","0.00270028877578085","-5.554519380825037E-4","0.0014126824450683662","0.0018788342867438307","-5.433055234417159E-4","0.0013721103653989552","0.0017911105105375622","-2.62944445278652E-4","-3.798027115896717E-4","0.0010132876897437054"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","0.002473231936499345","0.0024796230400032033","-5.862031573487426E-4","0.0012210210751267456","0.0016037716018797953","0.002473231936499345","-5.786125750092683E-4","0.0013271129484212945","0.0017682130879434269","-5.862031573487426E-4","0.0012210210751267456","0.0016037716018797953","-2.4073990661087913E-4","-3.4977403420275024E-4","9.702332394103036E-4"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.0388254116013769E-4","1.1532680376426069E-4","4.776784050991174E-5","8.107742894464213E-5","7.173517375760482E-5","1.0388254116013769E-4","4.635538049948896E-5","1.1035538939687265E-4","1.1694501582344336E-4","4.776784050991174E-5","8.107742894464213E-5","7.173517375760482E-5","3.753584673363227E-5","3.5255891598700076E-5","1.1260754020089235E-4"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.1232393602556962E-4","1.1022192860848747E-4","5.5074818674058004E-5","9.222140477489319E-5","9.202121359231342E-5","1.1232393602556962E-4","6.188131888175618E-5","1.2845600882175818E-4","1.4457139901939676E-4","5.5074818674058004E-5","9.222140477489319E-5","9.202121359231342E-5","5.24945767652573E-5","5.54307141097545E-5","1.335942491746286E-4"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.308416204141623E-4","1.2977393410707204E-4","7.637293615402316E-5","1.1398385458112514E-4","1.1475959541361983E-4","1.308416204141623E-4","8.554095086733398E-5","1.6909481888536837E-4","1.970993409817475E-4","7.637293615402316E-5","1.1398385458112514E-4","1.1475959541361983E-4","7.677331851918293E-5","8.210062832226709E-5","1.9318449118908571E-4"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.2203320838067112E-4","1.2647077959451262E-4","7.480477189049126E-5","1.0935443348397714E-4","9.604171984244956E-5","1.2203320838067112E-4","7.807456120595429E-5","1.532630328630513E-4","1.5898516416511143E-4","7.480477189049126E-5","1.0935443348397714E-4","9.604171984244956E-5","7.240247769953802E-5","6.753115892343976E-5","1.6991226621423418E-4"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","3","7.65453230056903E-5","7.88920085348168E-5","3.3148323315434736E-5","6.213433829306977E-5","5.8389094918980614E-5","7.65453230056903E-5","3.563588412118878E-5","1.0292329174361483E-4","1.16333320543341E-4","3.3148323315434736E-5","6.213433829306977E-5","5.8389094918980614E-5","3.0270575065856286E-5","3.036232935787166E-5","1.1761231976537645E-4"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","3","8.322392329118652E-5","7.570563221209559E-5","3.8681385167280636E-5","7.060075705632184E-5","7.380381597759125E-5","8.322392329118652E-5","4.862236027999511E-5","1.198366662384808E-4","1.430922086147834E-4","3.8681385167280636E-5","7.060075705632184E-5","7.380381597759125E-5","4.305222598693047E-5","4.795690996012489E-5","1.4013382780555457E-4"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","3","9.462925983202886E-5","8.80299018896378E-5","5.2780961373664724E-5","8.397185979276885E-5","8.788392915234028E-5","9.462925983202886E-5","6.614835686599E-5","1.5175603812752437E-4","1.870230514585889E-4","5.2780961373664724E-5","8.397185979276885E-5","8.788392915234028E-5","6.101938462342433E-5","6.875454948364345E-5","1.887802851723396E-4"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","3","8.912956317727865E-5","8.611557370622262E-5","5.177166416149834E-5","8.251213241979403E-5","7.633957095693031E-5","8.912956317727865E-5","6.025569233432965E-5","1.4363717350069057E-4","1.5911306408731088E-4","5.177166416149834E-5","8.251213241979403E-5","7.633957095693031E-5","5.8411338383714434E-5","5.80165168847385E-5","1.7893755202885397E-4"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","6.068962525878696E-5","6.007236911250196E-5","2.5447635825548403E-5","5.0237977268291106E-5","4.854636177549528E-5","6.068962525878696E-5","2.8856446795580655E-5","9.040133327327561E-5","1.0451647990497569E-4","2.5447635825548403E-5","5.0237977268291106E-5","4.854636177549528E-5","2.5063936058938813E-5","2.585802774983722E-5","1.0735252165818403E-4"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","6.617152714175283E-5","5.778018007196846E-5","2.9895216598519408E-5","5.705448703511827E-5","6.0958215095415486E-5","6.617152714175283E-5","3.9782436671467384E-5","1.0526719683964909E-4","1.2833923063192045E-4","2.9895216598519408E-5","5.705448703511827E-5","6.0958215095415486E-5","3.5914298154739574E-5","4.0919077719223797E-5","1.2808231861427687E-4"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","7.034551329853332E-5","6.539745456911336E-5","3.968456542665068E-5","6.620822885855971E-5","6.27949691955815E-5","7.034551329853332E-5","4.888446243940976E-5","1.2638569834191475E-4","1.4324012765524146E-4","3.968456542665068E-5","6.620822885855971E-5","6.27949691955815E-5","4.8372862750596154E-5","4.936047258465459E-5","1.6375138257035456E-4"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","4","9.495217933126038E-4","0.0010109504576870894","8.72549951870248E-5","5.842654735272175E-4","6.686986071698466E-4","9.495217933126038E-4","9.393192721266782E-5","5.984848863998406E-4","7.007091772642828E-4","8.72549951870248E-5","5.842654735272175E-4","6.686986071698466E-4","7.206215268912584E-5","8.197495274651014E-5","4.741227872618347E-4"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","5.0301371142773156E-5","4.8539688736075886E-5","2.0670851774557188E-5","4.213023437382688E-5","4.13728443997348E-5","5.0301371142773156E-5","2.4220908745631562E-5","7.936579433358821E-5","9.28219783226312E-5","2.0670851774557188E-5","4.213023437382688E-5","4.13728443997348E-5","2.13103513855754E-5","2.2332438589966952E-5","9.60917676380948E-5"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","5.49391335391958E-5","4.675798721111972E-5","2.438773473111359E-5","4.7832346557628933E-5","5.1756093736184136E-5","5.49391335391958E-5","3.3594304783291653E-5","9.2421595957473E-5","1.138820907299804E-4","2.438773473111359E-5","4.7832346557628933E-5","5.1756093736184136E-5","3.0664840478213776E-5","3.537600630824826E-5","1.14722893696814E-4"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","0.0019781802732720738","0.0019680328046617827","-3.746666955832894E-4","0.0010507801617211099","0.0014143640510020385","0.0019781802732720738","-3.920573777588418E-4","0.0010919917410015408","0.0014849492376330434","-3.746666955832894E-4","0.0010507801617211099","0.0014143640510020385","-1.660163233666551E-4","-2.715882556731424E-4","8.218315157642213E-4"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","5","5.8142192460466346E-5","5.2750376609662084E-5","3.2204088237601564E-5","5.5272785510162E-5","5.3190797211336534E-5","5.8142192460466346E-5","4.107700631881456E-5","1.1105939505561039E-4","1.2734161123873131E-4","3.2204088237601564E-5","5.5272785510162E-5","5.3190797211336534E-5","4.1132614980642425E-5","4.260735669231071E-5","1.467601559489311E-4"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.546143233454607E-4","1.4674013683067287E-4","1.001289564867737E-4","1.428864565660199E-4","1.412348793097395E-4","1.546143233454607E-4","1.2094883947502742E-4","2.1662354214941725E-4","2.431989216368263E-4","1.001289564867737E-4","1.428864565660199E-4","1.412348793097395E-4","1.1830742803821761E-4","1.2609820156026454E-4","2.6466942596846616E-4"
"12","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.5795084305511705E-4","1.7071303094455195E-4","8.137771571851746E-5","1.3002417308529652E-4","1.2642073179886765E-4","1.5795084305511705E-4","8.757252064611408E-5","1.8414252277591784E-4","2.0744255208168222E-4","8.137771571851746E-5","1.3002417308529652E-4","1.2642073179886765E-4","7.817465679724956E-5","8.321280155883123E-5","2.1560590363797413E-4"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.5125556017107363E-4","1.4315337814279274E-4","9.041412326549702E-5","1.3679730809589835E-4","1.4195223104731684E-4","1.5125556017107363E-4","1.0653136708519853E-4","2.099783070610192E-4","2.441442688878963E-4","9.041412326549702E-5","1.3679730809589835E-4","1.4195223104731684E-4","1.0003998262785782E-4","1.0928214222360629E-4","2.5240771603548E-4"
