"BehaviorSpace results (NetLogo 6.0.2)"
"Model_V13.nlogo"
"Weighting_Capabilities"
"05/26/2019 17:26:53:204 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-9","9"
"[run number]","everyone_is_owner","medium_socialnetwork_group","technology_heat","subsidies","large_size_community","stop_and_report","number_households","radius_socialnetwork","feasibility_constraint","initial_size_of_community","energylabels_higher","community_model","report_time","companies_utility_sector","weighting_capabilities","large_socialnetwork_group","renovations_cheaper","technologies_more_sustainable","range_inclusiveness","medium_size_community","Type_of_visualization","[step]","covariance_cap_sec_aff","covariance_cap_sec_sus","covariance_cap_sec_aut","covariance_cap_sec_com","covariance_cap_sec_inc","covariance_cap_aff_sus","covariance_cap_aff_aut","covariance_cap_aff_com","covariance_cap_aff_inc","covariance_cap_sus_aut","covariance_cap_sus_com","covariance_cap_sus_inc","covariance_cap_aut_com","covariance_cap_aut_inc","covariance_cap_com_inc"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","6.639674222215759E-5","6.051779449374136E-5","3.770267271911419E-5","6.065792832154672E-5","6.48419240374552E-5","6.639674222215759E-5","5.246121156816197E-5","1.132915267413743E-4","1.4168530947054778E-4","3.770267271911419E-5","6.065792832154672E-5","6.48419240374552E-5","5.153254691563943E-5","6.114172367944928E-5","1.526958245124088E-4"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","0.0019022933568224312","0.002173590779194131","-1.5166817644193603E-4","9.884789974425573E-4","0.0011428314039908108","0.0019022933568224312","-1.0536061939160655E-4","9.314295151870003E-4","0.00109380458337712","-1.5166817644193603E-4","9.884789974425573E-4","0.0011428314039908108","-2.0329414590978256E-5","-2.679892630800917E-5","6.42723801230174E-4"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","5.803876034946761E-5","5.1138837589898254E-5","2.721265475195741E-5","5.191207603261101E-5","5.456711159156992E-5","5.803876034946761E-5","3.913737619427026E-5","1.0932940958615644E-4","1.3434496610930348E-4","2.721265475195741E-5","5.191207603261101E-5","5.456711159156992E-5","3.7527505434360484E-5","4.324463195685699E-5","1.4208569183570287E-4"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","5","5.5673167875320565E-5","4.782567351820953E-5","3.291143041604595E-5","5.531282374667785E-5","5.851588266794762E-5","5.5673167875320565E-5","5.012490632257436E-5","1.1339051015942306E-4","1.407010361561939E-4","3.291143041604595E-5","5.531282374667785E-5","5.851588266794762E-5","5.366013431716177E-5","6.336718232578844E-5","1.6345610057605028E-4"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","5","5.4819018829650646E-5","4.879993727342932E-5","3.080497430601843E-5","5.045485104941856E-5","5.461882764706912E-5","5.4819018829650646E-5","4.480501100773728E-5","9.914134665272237E-5","1.2545981412248968E-4","3.080497430601843E-5","5.045485104941856E-5","5.461882764706912E-5","4.4440218186146926E-5","5.3488859638734505E-5","1.35883101695452E-4"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","5","0.002812388052812659","0.002858683375957374","-4.7911978161380484E-4","0.0014680486531304057","0.0019362758100652789","0.002812388052812659","-4.966268712547814E-4","0.00152567479720911","0.002052884949571282","-4.7911978161380484E-4","0.0014680486531304057","0.0019362758100652789","-2.3265329500791538E-4","-3.479767622524924E-4","0.0011322946747477163"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","5","4.822939240307867E-5","4.1274417068300155E-5","2.221788474660176E-5","4.351155353362452E-5","4.63842970036385E-5","4.822939240307867E-5","3.3526091491452066E-5","9.727289561531363E-5","1.2099110205802252E-4","2.221788474660176E-5","4.351155353362452E-5","4.63842970036385E-5","3.246433677495652E-5","3.796069690999725E-5","1.2856277745246686E-4"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
